x
0.72
2.58
2.35
2.03
1.99
1.47
2.36
1.28
-0.47
2.91
2.37
1.03
0.88
1.76
2.8
1.41
2.42
2.37
1.17
2.34
2.43
2.43
1.42
1.42
2.28
2.69
2.64
2.63
2.1
2.29
2.18
2.78
2.92
